frame_id,x,y
loc2_script5_seq5_rec1_frame_10,826.5113884792373,588.8088039115585
loc2_script5_seq5_rec1_frame_20,857.336712308944,586.196405314462
loc2_script5_seq5_rec1_frame_30,806.2453124363866,656.9851501226416
loc2_script5_seq5_rec1_frame_40,696.738516727744,377.5231645746848
loc2_script5_seq5_rec1_frame_50,744.8350196804761,583.1464633192545
loc2_script5_seq5_rec1_frame_60,796.5668757219839,698.2759439851001
loc2_script5_seq5_rec1_frame_70,677.8446968733763,716.8422014231849
loc2_script5_seq5_rec1_frame_80,867.0768044406459,643.179624639518
loc2_script5_seq5_rec1_frame_90,798.7419471111025,713.0908166291139
loc2_script5_seq5_rec1_frame_100,646.2300137734069,706.8868948454053
loc2_script5_seq5_rec1_frame_110,637.3678246124971,706.0710894897537
loc2_script5_seq5_rec1_frame_120,907.2853979323783,599.6912313361512
loc2_script5_seq5_rec1_frame_130,807.386050437178,708.4470697001251
loc2_script5_seq5_rec1_frame_140,633.825987403796,707.892147836903
loc2_script5_seq5_rec1_frame_150,711.6065383285608,689.8689202677066
loc2_script5_seq5_rec1_frame_160,717.1278215731651,681.106634406221
loc2_script5_seq5_rec1_frame_170,720.415541070145,651.7426421723106
loc2_script5_seq5_rec1_frame_180,627.6459077067026,737.6467781427937
loc2_script5_seq5_rec1_frame_190,813.8814970235414,677.3887193848267
loc2_script5_seq5_rec1_frame_200,825.915703383954,642.3084127243928
loc2_script5_seq5_rec1_frame_210,821.1989262010109,632.8563630005228
loc2_script5_seq5_rec1_frame_220,726.4828534004262,686.6110647865091
loc2_script5_seq5_rec1_frame_230,889.3483711838808,720.5244332002674
loc2_script5_seq5_rec1_frame_240,811.3133813450265,652.3633659776171
loc2_script5_seq5_rec1_frame_250,808.0311998333575,665.6114366859904
loc2_script5_seq5_rec1_frame_260,811.6205325074334,644.8491300476142
loc2_script5_seq5_rec1_frame_270,809.1544787560633,739.0040879164096
loc2_script5_seq5_rec1_frame_280,809.543713130405,658.4605378657564
loc2_script5_seq5_rec1_frame_290,724.0880926956174,711.8713631933487
loc2_script5_seq5_rec1_frame_300,760.0177574041211,646.7072328712039
loc2_script5_seq5_rec1_frame_310,754.9661048380714,715.9537234908006
loc2_script5_seq5_rec1_frame_320,767.3808220398852,685.5451138527148
loc2_script5_seq5_rec1_frame_330,773.6219869095031,708.7862531061073
loc2_script5_seq5_rec1_frame_340,773.6427965333049,630.9939553548865
loc2_script5_seq5_rec1_frame_350,766.5147477874332,689.6527227963769
loc2_script5_seq5_rec1_frame_360,761.7874725668592,641.3012419513414
loc2_script5_seq5_rec1_frame_370,771.4283916956082,728.2491590770494
loc2_script5_seq5_rec1_frame_380,746.3694192656214,742.1770590353481
